Metabolites,Veh-Ah-1,Veh-Ah-2,Veh-Ah-3,2dG-Ah-1,2dG-Ah-2,2dG-Ah-3,Veh-XJ-1,Veh-XJ-2,Veh-XJ-3,2dG-XJ-1,2dG-XJ-2,2dG-XJ-3,Veh-DS-1,Veh-DS-2,Veh-DS-3,1mMGLC-DS-1,1mMGLC-DS-2,1mMGLC-DS-3,Veh-Zh-1,Veh-Zh-2,Veh-Zh-3,5uM5FU-1,5uM5FU-2,5uM5FU-3
NN-dimethyldopaminequinone/(-)-Salsolinol-1,120031.1994,147950.3335,138657.3352,111140.3034,197205.0093,181216.8821,57398.25125,63780.0329,73535.81465,65496.9135,67529.7453,65396.3061,140613.9114,142585.3516,143290.5727,137127.22,138070.967,169148.5588,80748.2362,70846.0989,74541.01975,74428.2481,82028.4552,81251.507
NN-dimethyldopaminequinone/(-)-Salsolinol-2,121658.4327,113054.2631,119737.6955,171989.03,218905.7482,202403.9405,74236.451,73122.97255,90043.1174,70979.1863,72949.5835,72116.18865,516972.4031,561979.8815,478305.7168,189202.6476,185582.7235,178120.1869,101159.4041,99081.21235,89350.6951,92502.38055,83407.3941,68982.5721
methyl indole-3-acetate,108243.4056,113773.9671,114541.1616,90789.42995,128861.9067,118472.4273,75988.4822,80162.04535,102159.2978,77366.4623,79349.16865,86166.4723,481011.0575,534026.9014,487013.2129,480781.7819,455653.6782,476441.0645,96482.29675,78382.7359,53916.0913,84344.91495,79335.7052,57290.05755
C18H32O4(3),149744.5952,168445.6515,141517.6522,139038.9588,108786.988,128549.6175,30501.68585,25789.10365,22785.768,35109.93975,36283.87005,30225.42245,41559.07015,54461.8664,35451.6754,66454.92775,73637.01645,69050.91655,45800.0032,38316.13055,36766.6133,36123.128,38600.63145,37578.62185
C10H15N5O10P2(3),1670815.984,1306882.431,1406823.913,840965.2207,1005185.476,1318583.005,192724.8349,207180.4037,225906.7135,162661.7278,170641.5863,156647.331,261600.3551,344836.696,433541.9507,246702.1251,300425.6988,341594.5208,578804.1942,607328.8664,589699.0462,666694.2003,797209.5537,565401.0766
trans-Hexadec-2-enoyl carnitine,563603.1203,885455.8921,438775.3535,553553.5354,856908.6502,1066204.273,114545.4097,120712.1233,148339.0684,468272.975,543261.5188,582238.3753,3114868.975,2708733.829,2911093.886,3512882.825,3914437.56,3578036.576,98149.15855,88087.90845,66147.5492,95969.461,99382.4514,79281.83105
imidazole-4-acetaldehyde,27654.73085,30968.16335,41842.5525,34114.21805,29055.2699,59293.282,93213.90725,102217.0917,105085.9843,102125.7256,108687.0543,101270.0358,92660.5414,137018.1516,112301.3293,41369.3053,34968.7111,57419.85285,82254.13045,95921.93695,104246.3757,80784.62305,103828.1781,117097.8806
phenylacetaldehyde,43562.18315,50040.9477,48417.1358,46210.1261,59492.18625,63884.567,45656.94485,43796.98255,55668.76365,36444.51925,39904.95135,39278.05775,101036.4509,120785.8813,109669.128,150931.2577,162335.5517,208076.6554,56733.4656,50443.27295,41877.23895,49337.18085,49595.9899,39871.18
L-serine,2028905.328,2151751.006,2316925.778,1721193.619,2199718.647,2091565.3,3625537.167,3643857.325,4318952.087,3080584.625,3165859.659,3277096.694,6902645.734,7305193.545,7226160.444,6261314.426,6417474.537,7159610.534,1473500.604,1036730.999,782333.1361,1144421.366,1191929.287,1344963.95
L-cysteine,673526.5536,855259.0909,837247.4811,663863.7138,1323034.856,1462615.903,134982.4336,123719.7927,162344.8591,1148491.947,1215911.356,1195906.727,587603.7971,708604.9907,848887.2032,893547.4515,1398902.663,1877054.891,456022.7384,510608.8,410806.7978,581353.1257,553480.0206,360726.4825
